HRPL,0.68%,16.84%,1.29%,65.54%,0.96,Compliant
HUSI,43.08%,0.00%,86.93%,96.84%,(91.81),Compliant
IBFL,12.43%,0.02%,0.22%,85.00%,(51.96),Compliant
IDRT,43.48%,2.64%,0.32%,56.22%,(50.56),Non-Compliant
IDSM,43.71%,0.00%,0.00%,75.10%,(236.37),Non-Compliant
INKL,36.06%,5.93%,0.28%,40.38%,(0.40),Compliant
ISIL,55.10%,6.91%,0.27%,69.66%,(490.09),Non-Compliant
JATM,0.00%,0.04%,22.82%,71.51%,(11.22),Non-Compliant
JDMT,16.11%,0.00%,0.00%,95.57%,(388.23),Compliant
JDWS,45.65%,0.00%,0.45%,87.34%,(499.91),Non-Compliant1
JKSM,37.93%,0.10%,0.04%,83.23%,(73.56),Non-Compliant
JOPP,0.00%,0.00%,0.00%,96.51%,(63.53),Compliant
JVDC,19.87%,0.15%,2.80%,81.47%,(25.58),Compliant
KCL,4.90%,0.00%,0.01%,95.00%,(13.03),Compliant
KHYT,0.00%,0.00%,0.00%,98.77%,(29.91),Compliant
KML,43.23%,2.44%,0.22%,74.53%,(161.32),Non-Compliant
KOHTM,34.26%,0.06%,0.01%,84.79%,(139.67),Compliant
KPUS,42.64%,0.00%,0.00%,89.33%,(300.10),Non-Compliant3
LEUL,0.00%,0.00%,5.00%,61.71%,0.74,Compliant
LPGL,15.91%,0.00%,0.00%,93.77%,(132.24),Compliant
MACTER,2.10%,0.00%,0.06%,72.87%,(20.72),Compliant
MEHT,60.47%,0.78%,0.08%,78.10%,(1437.07),Non-Compliant
MIRKS,47.65%,0.02%,0.73%,89.68%,(393.31),Non-Compliant1
MQTM,41.53%,0.12%,0.00%,78.14%,(222.49),Non-Compliant
MSCL,2.67%,0.84%,0.14%,90.77%,(0.22),Compliant
MSOT,43.97%,0.00%,0.09%,65.62%,(191.03),Non-Compliant
NATM,34.56%,0.00%,0.00%,66.61%,(111.81),Compliant
NESTLE,18.58%,0.00%,0.02%,74.58%,(1248.41),Compliant
NICL,65.49%,0.00%,0.01%,70.27%,(141.99),Non-Compliant
NONS,42.33%,0.00%,0.02%,67.69%,(82.98),Non-Compliant1
NSRM,4.50%,0.02%,0.00%,64.09%,(6.62),Compliant
OML,29.56%,4.72%,2.94%,87.80%,(34.74),Compliant
ORM,N/A,N/A,N/A,66.44%,(4.28),Compliant
PAKL,221.17%,0.00%,0.00%,73.91%,(83.96),Non-Compliant
PAKMI,N/A,N/A,N/A,82.21%,(3.37),Compliant
PIM,N/A,N/A,N/A,91.34%,(0.68),Compliant
PMRS,34.10%,0.09%,0.06%,92.01%,(3510.24),Compliant1
POML,17.79%,0.00%,0.07%,66.76%,(52.57),Compliant
PPP,17.40%,0.00%,0.00%,76.15%,(26.00),Compliant
PRWM,54.01%,3.23%,0.09%,72.92%,(16.66),Non-Compliant
PSEL,16.01%,2.62%,0.41%,64.06%,24.78,Compliant
PSYL,18.64%,0.00%,0.04%,81.77%,(37.43),Compliant
QUET,28.52%,0.75%,0.56%,93.15%,(821.71),Compliant
RCML,19.18%,0.46%,4.12%,80.79%,(264.42),Compliant
REDCO,38.34%,0.00%,0.00%,82.36%,(32.85),Non-Compliant
RMPL,6.88%,10.33%,0.67%,75.78%,(2565.94),Compliant
SAIF,60.66%,0.14%,0.01%,79.69%,(282.67),Non-Compliant
SANSM,14.72%,0.00%,0.03%,94.33%,(256.77),Compliant1
SAPL,6.22%,0.00%,0.01%,52.92%,(155.11),Compliant
SAPT,54.66%,3.61%,0.75%,73.98%,(2728.79),Non-Compliant
SARC,21.68%,0.00%,0.00%,42.69%,14.95,Compliant
SASML,25.17%,0.00%,0.26%,92.18%,(227.67),Compliant1
SCL,4.28%,0.00%,0.00%,86.38%,(404.77),Compliant
SEL,40.28%,0.00%,0.00%,60.12%,(46.55),Non-Compliant
SERT,3.18%,0.00%,0.00%,92.97%,(17.14),Compliant
SFL,24.62%,5.59%,1.46%,62.39%,(67.90),Compliant
SHCM,49.93%,14.93%,1.45%,76.19%,(33.85),Non-Compliant
SHDT,34.20%,0.00%,0.01%,76.93%,(42.13),Compliant
SHJS,49.16%,0.00%,0.17%,92.23%,(306.04),Non-Compliant1
SHSML,24.20%,0.00%,0.16%,79.55%,(206.81),Compliant1
SINDM,N/A,N/A,N/A,95.58%,0.77,Compliant
